name,price,description,items,is_available,category
Classic Jeera Rice,199,Basmati rice tempered with cumin seeds.,,true,Rice and Biryani — Classics with a Citrus Twist
Classic Peas Mutter Pulao,219,Basmati rice cooked with green peas and whole spices.,,true,Rice and Biryani — Classics with a Citrus Twist
Classic Veg Fried Rice,219,Rice stir-fried with vegetables and soy sauce.,,true,Rice and Biryani — Classics with a Citrus Twist
Mushroom Fried Rice,199,Fried rice with mushrooms and vegetables.,,true,Rice and Biryani — Classics with a Citrus Twist
Spicy Schezwan Veg Fried Rice,219,Fried rice tossed in fiery Schezwan sauce.,,true,Rice and Biryani — Classics with a Citrus Twist
Popular's Special Veg Fried Rice,219,Our signature veg fried rice with special masala.,,true,Rice and Biryani — Classics with a Citrus Twist
Scrambled Egg Fried Rice,219,Fried rice with scrambled eggs and vegetables.,,true,Rice and Biryani — Classics with a Citrus Twist
Paneer Fried Rice,219,Fried rice with paneer cubes and vegetables.,,true,Rice and Biryani — Classics with a Citrus Twist
Classic Chicken Fried Rice (PSP),219,Fried rice with chicken and vegetables.,,true,Rice and Biryani — Classics with a Citrus Twist
Fiery Schezwan Chicken Fried Rice,259,Chicken fried rice tossed in fiery Schezwan sauce.,,true,Rice and Biryani — Classics with a Citrus Twist
Double Delight Egg & Chicken Fried Rice,279,Fried rice with both egg and chicken.,,true,Rice and Biryani — Classics with a Citrus Twist
Shahi Veg Dum Biryani,259,"Fragrant basmati with vegetables, saffron, and whole spices.",,true,Rice and Biryani — Classics with a Citrus Twist
Flavorful Egg Dum Biryani,289,Dum biryani with boiled eggs and aromatic spices.,,true,Rice and Biryani — Classics with a Citrus Twist
Rich Paneer Dum Biryani,309,Dum biryani with paneer and rich masala.,,true,Rice and Biryani — Classics with a Citrus Twist
Nawabi Chicken Dum Biryani,329,"Dum biryani with marinated chicken, saffron, and whole spices.",,true,Rice and Biryani — Classics with a Citrus Twist
Dineout Mutton Dum Biryani,499,Premium mutton dum biryani with fragrant basmati and spices.,,true,Rice and Biryani — Classics with a Citrus Twist
Classic Yellow Dal Tadka,199,"Yellow lentils tempered with cumin, garlic, and red chili.",,true,Rice and Biryani — Classics with a Citrus Twist
Veg Hakka Noodles,249,Stir-fried noodles with crunchy vegetables.,,true,Noodles — Wok Classics
Desi Mix Veg Chowmein,239,Indian-style chowmein with mixed vegetables.,,true,Noodles — Wok Classics
Spicy Schezwan Veg Noodles,239,Noodles tossed in fiery Schezwan sauce with vegetables.,,true,Noodles — Wok Classics
Fiery Garlic Veg Noodles,239,Noodles tossed in garlic with vegetables.,,true,Noodles — Wok Classics
Paneer Hakka Noodles,249,Hakka noodles with paneer and vegetables.,,true,Noodles — Wok Classics
Mushroom Hakka Noodles,249,Hakka noodles with mushrooms and vegetables.,,true,Noodles — Wok Classics
Popular's Special Veg Noodles,259,Our signature veg noodles with special masala.,,true,Noodles — Wok Classics
Classic Chicken Hakka Noodles,299,Hakka noodles with chicken and vegetables.,,true,Noodles — Wok Classics
Schezwan Tossed Chicken Noodles,289,Chicken noodles tossed in fiery Schezwan sauce.,,true,Noodles — Wok Classics
Hot Garlic Chicken Noodles,289,Chicken noodles tossed in a hot garlic sauce.,,true,Noodles — Wok Classics
Egg & Chicken Tossed Noodles,299,Noodles tossed with egg and chicken.,,true,Noodles — Wok Classics
Popular's Signature Chicken Noodles,309,Our signature chicken noodles with special masala.,,true,Noodles — Wok Classics
